name,affiliation,homepage,scholarid,orcid
Robert Soulé,Yale University,https://cpsc.yale.edu/people/robert-soule,di_T0vwAAAAJ,0000-0002-2825-6660
Rui Wang 0004,Zhejiang University,http://www.cad.zju.edu.cn/home/rwang,yUxnN_EAAAAJ,0000-0003-4267-0347
Ruofeng Tong,Zhejiang University,http://give.zju.edu.cn/memberHomepage/TongRuofeng.html,jsoBob0AAAAJ,0000-0000-0000-0000
Ruzica Piskac,Yale University,http://www.cs.yale.edu/~piskac,71RQt3sAAAAJ,0000-0002-3267-0776
Sahand N. Negahban,Yale University,http://www.stat.yale.edu/~snn7,3p-KQUwAAAAJ,0000-0000-0000-0000
Sahand Negahban,Yale University,http://www.stat.yale.edu/~snn7,3p-KQUwAAAAJ,0000-0000-0000-0000
Sai Wu,Zhejiang University,http://mypage.zju.edu.cn/en/wusai,RMaqDKAAAAAJ,0000-0002-1866-9197
Shanping Li,Zhejiang University,https://person.zju.edu.cn/en/0087125,NOSCHOLARPAGE,0000-0003-2615-9792
Shijian Li,Zhejiang University,http://mypage.zju.edu.cn/lishijian,NOSCHOLARPAGE,0000-0000-0000-0000
Shouling Ji,Zhejiang University,http://person.zju.edu.cn/sji,5HoF_9oAAAAJ,0000-0003-4268-372X
Shuibing He,Zhejiang University,https://shuibing9420.github.io,bVzOI38AAAAJ,0000-0002-7075-4153
ShuiGuang Deng,Zhejiang University,http://mypage.zju.edu.cn/shuiguang,txbuN0YAAAAJ,0000-0001-5015-6095
Shuiguang Deng,Zhejiang University,http://mypage.zju.edu.cn/shuiguang,txbuN0YAAAAJ,0000-0001-5015-6095
Shuming Gao,Zhejiang University,http://mypage.zju.edu.cn/smgao,QZBgwvsAAAAJ,0000-0000-0000-0000
Siliang Tang,Zhejiang University,http://mypage.zju.edu.cn/siliang,8e7H3PcAAAAJ,0000-0002-7356-9711
Siwei Tan,Zhejiang University,http://person.zju.edu.cn/tansiwei,Wj7H4EUAAAAJ,0000-0002-0634-8089
Smita Krishnaswamy,Yale University,https://medicine.yale.edu/genetics/people/smita_krishnaswamy.profile,l2Pr9m8AAAAJ,0000-0000-0000-0000
Song Li 0006,Zhejiang University,https://songli.io,BBPDISIAAAAJ,0000-0002-7961-8502
Steven W. Zucker,Yale University,http://www.cs.yale.edu/~vision/zucker/steve.html,rNTIQXYAAAAJ,0000-0000-0000-0000
Tesca Fitzgerald,Yale University,https://cpsc.yale.edu/people/tesca-fitzgerald,UTmj6K4AAAAJ,0000-0003-0867-0546
Theodore Kim,Yale University,https://cpsc.yale.edu/people/theodore-kim,lZnLhCcAAAAJ,0000-0002-1131-8685
Tianjia Shao,Zhejiang University,http://tianjiashao.com,NOSCHOLARPAGE,0000-0001-5485-3752
Vladimir Rokhlin,Yale University,http://cpsc.yale.edu/people/vladimir-rokhlin,Cy4eJqMAAAAJ,0000-0000-0000-0000
Wei Chen 0001,Zhejiang University,http://www.cad.zju.edu.cn/home/chenwei,EgQyYGUAAAAJ,0000-0002-8365-4741
Wei Dong 0001,Zhejiang University,http://mypage.zju.edu.cn/dongw,NOSCHOLARPAGE,0000-0003-0498-1494
Wei-Ming Lu 0001,Zhejiang University,http://mypage.zju.edu.cn/lwm,NOSCHOLARPAGE,0000-0000-0000-0000
Wei-ming Lu 0001,Zhejiang University,http://mypage.zju.edu.cn/lwm,NOSCHOLARPAGE,0000-0000-0000-0000
Weidong Geng,Zhejiang University,http://mypage.zju.edu.cn/capggeng,NOSCHOLARPAGE,0000-0002-2709-396X
Weiming Lu 0001,Zhejiang University,http://mypage.zju.edu.cn/lwm,NOSCHOLARPAGE,0000-0002-0200-9215
Weiwei Xu,Zhejiang University,http://www.cad.zju.edu.cn/home/weiweixu,qRXK__gAAAAJ,0000-0000-0000-0000
Wen Zhang 0015,Zhejiang University,https://person.zju.edu.cn/zhangwen,Ig9ho4kAAAAJ,0000-0001-8429-9326
Wenbo Shen,Zhejiang University,https://wenboshen.org,nNDIx9MAAAAJ,0000-0003-2899-6121
Wenjun Hu,Yale University,https://www.eng.yale.edu/wenjun,SvnnEI8AAAAJ,0009-0007-5988-3193
Wenyuan Xu 0001,Zhejiang University,https://person.zju.edu.cn/en/wyxu,FCsdj0YAAAAJ,0000-0002-5043-9148
Wenzhi Chen,Zhejiang University,http://mypage.zju.edu.cn/chenwenzhi,NOSCHOLARPAGE,0000-0003-1674-4701
Xi Li 0001,Zhejiang University,http://mypage.zju.edu.cn/xilics,TYNPJQMAAAAJ,0000-0003-3023-1662
Xiang Chen 0001,Zhejiang University,http://flyingxiang.net,I6P3k0AAAAAJ,0000-0002-6955-8729
Xiao Yu 0008,Zhejiang University,https://xiaoyu-cs.github.io,sMOc8IcAAAAJ,0000-0002-4473-3068
Xiao-Hong Jiang,Zhejiang University,http://mypage.zju.edu.cn/jiangxh,NOSCHOLARPAGE,0000-0000-0000-0000
Xiao-hong Jiang,Zhejiang University,http://mypage.zju.edu.cn/jiangxh,NOSCHOLARPAGE,0000-0000-0000-0000
Xiaofei He 0001,Zhejiang University,http://people.cs.uchicago.edu/~xiaofei,QLLFowsAAAAJ,0000-0000-0000-0000
Xiaogang Jin 0001,Zhejiang University,http://www.cad.zju.edu.cn/home/jin,yryOvLwAAAAJ,0000-0001-7339-2920
Xiaogang Jin 0002,Zhejiang University,http://mypage.zju.edu.cn/0096364,tYqG3CAAAAAJ,0000-0000-0000-0000
Xiaohong Jiang,Zhejiang University,http://mypage.zju.edu.cn/jiangxh,NOSCHOLARPAGE,0000-0000-0000-0000
Xiaolin Zheng,Zhejiang University,http://mypage.zju.edu.cn/xlzheng,MY23M60AAAAJ,0000-0001-5483-0366
Xiaowei Zhou 0001,Zhejiang University,http://www.cad.zju.edu.cn/home/xzhou,E1vVpg4AAAAJ,0000-0003-1926-5597
Xiaoxue Ren,Zhejiang University,https://xiaoxuerens.github.io,mdoN_woAAAAJ,0000-0002-5526-1617
Xiaoye Miao,Zhejiang University,https://person.zju.edu.cn/en/miaoxy_en,gNE7DQsAAAAJ,0000-0002-8632-1539
Xin Xia 0001,Zhejiang University,https://xin-xia.github.io,XSZRxOEAAAAJ,0000-0002-6302-3256
Xing Hu 0008,Zhejiang University,http://xing-hu.github.io,DFERPF4AAAAJ,0000-0003-0093-3292
Xinguo Liu,Zhejiang University,http://mypage.zju.edu.cn/xgliu,NOSCHOLARPAGE,0000-0003-4650-1970
Xinyu Wang 0001,Zhejiang University,https://person.zju.edu.cn/en/wangxinyu_en,NOSCHOLARPAGE,0000-0000-0000-0000
Xunzhao Yin,Zhejiang University,https://person.zju.edu.cn/en/xunzhaoyin,snOTdoIAAAAJ,0000-0003-4656-9545
Y. Richard Yang,Yale University,http://www.cs.yale.edu/~yry,AQ6AppgAAAAJ,0000-0000-0000-0000
Yajin Zhou,Zhejiang University,http://yajin.org,N1oeOPwAAAAJ,0000-0001-7610-4736
Yang Cai 0001,Yale University,https://cpsc.yale.edu/people/yang-cai,HMa4vcYAAAAJ,0000-0002-5426-1324
Yang Richard Yang,Yale University,http://www.cs.yale.edu/~yry,AQ6AppgAAAAJ,0000-0000-0000-0000
Yang Xiang,Zhejiang University,http://mypage.zju.edu.cn/yxiang,NOSCHOLARPAGE,0009-0003-5991-4739
Yang Yang 0009,Zhejiang University,http://yangy.org,NOSCHOLARPAGE,0000-0002-5058-4417
Yanlin Weng,Zhejiang University,http://www.cs.zju.edu.cn/chinese/redir.php?catalog_id=22284&object_id=116229,NOSCHOLARPAGE,0000-0001-5223-4253
Yao Min,Zhejiang University,http://mypage.zju.edu.cn/myao,NOSCHOLARPAGE,0000-0000-0000-0000
Yi Gao 0001,Zhejiang University,http://mypage.zju.edu.cn/gaoyi,oyKWoTkAAAAJ,0000-0001-7897-5965
Yi Yang 0001,Zhejiang University,https://person.zju.edu.cn/yiyang,RMSuNFwAAAAJ,0000-0000-0000-0000
Yilun Zhao 0007,Yale University,https://yilunzhao.com,NOSCHOLARPAGE,0000-0000-0000-0000
Ying Wei 0001,Zhejiang University,https://wei-ying.net,5UpFdKsAAAAJ,0000-0003-1662-4443
Yingcai Wu,Zhejiang University,http://www.ycwu.org,2eQFlqsAAAAJ,0000-0002-1119-3237
Yingjie Xia,Zhejiang University,http://mypage.zju.edu.cn/xiayingjie,lWN9EjkAAAAJ,0000-0000-0000-0000
Yong Liu 0007,Zhejiang University,https://person.zju.edu.cn/en/yongliu#924823,qYcgBbEAAAAJ,0009-0000-8133-5686
Yong-chuan Tang,Zhejiang University,http://mypage.zju.edu.cn/yongchuan,NOSCHOLARPAGE,0000-0000-0000-0000
Yongchuan Tang,Zhejiang University,http://mypage.zju.edu.cn/yongchuan,NOSCHOLARPAGE,0000-0000-0000-0000
Yongshan Ding 0001,Yale University,https://seas.yale.edu/faculty-research/faculty-directory/yongshan-ding,pIFh3c0AAAAJ,0000-0002-2338-1315
Yongwang Zhao,Zhejiang University,https://person.zju.edu.cn/zhaoyw,NOSCHOLARPAGE,0000-0002-2284-1383
Youyi Zheng,Zhejiang University,http://www.cad.zju.edu.cn/home/zyy/index.html,7gA-o6gAAAAJ,0000-0002-9120-9592
Yu Li 0007,Zhejiang University,http://liyu.one,M0zhrM8AAAAJ,0000-0000-0000-0000
Yubo Tao,Zhejiang University,http://www.cad.zju.edu.cn/home/ybtao,NOSCHOLARPAGE,0000-0002-2283-6437
Yuchen Mao 0001,Zhejiang University,https://person.zju.edu.cn/maoyc,igtemMUAAAAJ,0000-0002-1075-344X
Yueting Zhuang,Zhejiang University,http://mypage.zju.edu.cn/0089133,1RD7UJAAAAAJ,0000-0000-0000-0000
Yunhe Pan,Zhejiang University,http://mypage.zju.edu.cn/panyunhe,NOSCHOLARPAGE,0000-0000-0000-0000
Yunjun Gao,Zhejiang University,http://mypage.zju.edu.cn/gaoyj_cn,NOSCHOLARPAGE,0000-0003-3816-8450
Zeke Wang,Zhejiang University,https://wangzeke.github.io,O_QbGCgAAAAJ,0000-0001-8550-9241
Zhan Qin,Zhejiang University,https://person.zju.edu.cn/qinzhan,5fa4lOQAAAAJ,0000-0001-7872-6969
Zhaohui Wu 0001,Zhejiang University,http://mypage.zju.edu.cn/wuzhaohui,qV631P8AAAAJ,0000-0000-0000-0000
Zheyu Yan,Zhejiang University,https://zyyan.top,Wd8mEEAAAAAJ,0000-0003-1830-606X
Zhibo Wang 0001,Zhejiang University,https://person.zju.edu.cn/zhibowang,0ox7zDkAAAAJ,0000-0002-5804-3279
Zhipeng Gao 0002,Zhejiang University,https://zpgao.github.io,hQVNAQgAAAAJ,0000-0003-3030-9917
Zhitao Ying,Yale University,https://cpsc.yale.edu/people/zhitao-ying,6fqNXooAAAAJ,0000-0000-0000-0000
Zhiyuan Wan,Zhejiang University,https://zhiyuan-wan.github.io,e-HfEUYAAAAJ,0000-0001-7657-6653
Zhong Ren 0001,Zhejiang University,http://zren.info,iCD4QjAAAAAJ,0000-0002-6798-3035
Zhong Shao 0001,Yale University,http://www.cs.yale.edu/~shao,9OukeycAAAAJ,0000-0001-8184-7649
Zhongjie Ba,Zhejiang University,https://person.zju.edu.cn/zhongjieba,dO2kc6kAAAAJ,0000-0003-0921-8869
Zhongxin Liu 0002,Zhejiang University,https://person.zju.edu.cn/en/liuzhongxin,U_yKZbYAAAAJ,0000-0002-1981-1626
Zhou Zhao 0001,Zhejiang University,http://mypage.zju.edu.cn/zhaozhou,IIoFY90AAAAJ,0000-0001-6121-0384
Zicheng Liao,Zhejiang University,http://zichengl.net,RguLVJ8AAAAJ,0000-0000-0000-0000
Ziming Zhao 0008,Zhejiang University,https://person.zju.edu.cn/zhaoziming,Z9iB9o0AAAAJ,0000-0003-1455-4330
Ziqi Yang,Zhejiang University,https://person.zju.edu.cn/yangziqi,3xtC7FwAAAAJ,0009-0009-4995-7085
Zonghui Wang,Zhejiang University,http://mypage.zju.edu.cn/zhwang,NOSCHOLARPAGE,0000-0002-8212-4618
